9,A,9.0,1,A ,21.0,1, B
9,A,19.0,1, B,13.25,4,A B
9,A,16.0,1, B,14.0,1, B
9,A,10.0,1,A ,12.0,2,A B
9,A,14.0,1, B,11.75,4,A B
9,A,16.0,1, B,12.0,5,A B
9,A,18.0,1, B,15.0,1, B
9,A,6.0,1,A ,14.0,2, B
9,A,4.0,1,A ,17.0,2, B
9,A,33.0,1, B,13.5,2, B
9,A,4.0,1,A ,14.833333333333334,6, B
9,A,19.0,1, B,8.666666666666666,6,A B
9,A,16.0,1, B,10.75,4,A B
9,A,4.0,1,A ,17.0,1, B
9,A,4.0,1,A ,16.0,6,A B
9,A,6.0,1,A ,13.125,16,A B
9,A,12.0,1, B,12.6,5,A B
9,A,4.0,1,A ,16.0,1, B
9,A,4.0,1,A ,12.0,4,A B
9,A,15.0,1, B,13.0,1,A 
9,A,14.0,1,A ,14.5,4,A B
9,A,9.0,1,A ,14.0,1, B
9,A,14.0,1, B,15.181818181818182,11,A B
9,A,8.0,1,A ,19.0,2, B
9,A,13.0,1, B,12.0,1, B
9,A,19.0,1, B,16.4,5, B
9,A,10.0,1,A ,18.0,1, B
9,A,12.0,1,A ,14.0,1, B
9,A,15.0,1, B,21.75,4, B
9,A,6.0,1,A ,14.0,1,A 
9,A,6.0,1,A ,16.833333333333332,6, B
9,A,5.0,1,A ,14.5,2,A B
9,A,5.0,1,A ,14.5,2, B
9,A,5.0,1,A ,14.0,3, B
9,A,5.0,1,A ,14.0,3,A B
9,A,5.0,1,A ,13.0,1,A 
9,A,18.0,1, B,16.0,3, B
9,A,9.0,1,A ,16.0,1, B
9,A,12.0,1, B,13.5,2,A 
9,A,5.0,1,A ,13.5,2,A B
9,A,4.0,1,A ,15.5,2, B
9,A,9.0,1,A ,12.0,3,A B
9,A,6.0,1,A ,19.0,1, B
9,A,7.0,1,A ,13.5,2, B
9,A,12.0,1, B,17.666666666666668,3, B
9,A,11.0,1,A ,12.333333333333334,3,A B
9,A,17.0,1, B,18.0,1, B
9,A,11.0,1,A ,13.75,4,A B
9,A,13.0,1, B,15.0,2, B
9,A,7.0,1,A ,9.5,2, B
9,A,17.0,1, B,13.0,2,A B
9,A,14.0,1, B,26.333333333333332,6, B
9,A,6.0,1,A ,19.0,3, B
9,A,13.0,1, B,13.4,5,A B
9,A,15.0,1, B,13.0,4,A 
9,A,12.0,1,A ,20.0,1, B
9,A,7.0,1,A ,13.0,1, B
9,A,4.0,1,A ,17.0,1, B
9,A,6.0,1,A ,17.0,2,A B
9,A,4.0,1,A ,16.0,1, B
9,A,11.0,1, B,12.666666666666666,3,A B
